id,iri_pre,iri_pt_pre,iri_pt_pre_alt,iri_ec_pre,iri_fs_pre,iri_pd_pre,iri_post,iri_pt_post,iri_pt_post_alt,iri_ec_post,iri_fs_post,iri_pd_post,mes_pre,mes_other_pre,mes_self_pre,mes_affected_pre,mes_perspective_pre,mes_imagination_pre,mes_post,mes_other_post,mes_self_post,mes_affected_post,mes_perspective_post,mes_imagination_post,tssq_pre,tssq_active_pre,tssq_conceptualization_pre,tssq_perspective_pre,tssq_present_pre,tssq_post,tssq_active_post,tssq_conceptualization_post,tssq_perspective_post,tssq_present_post,iri_pre_outliers_excluded,iri_pt_pre_outliers_excluded,iri_pt_pre_alt_outliers_excluded,iri_ec_pre_outliers_excluded,iri_fs_pre_outliers_excluded,iri_pd_pre_outliers_excluded,iri_post_outliers_excluded,iri_pt_post_outliers_excluded,iri_pt_post_alt_outliers_excluded,iri_ec_post_outliers_excluded,iri_fs_post_outliers_excluded,iri_pd_post_outliers_excluded,mes_pre_outliers_excluded,mes_other_pre_outliers_excluded,mes_self_pre_outliers_excluded,mes_affected_pre_outliers_excluded,mes_perspective_pre_outliers_excluded,mes_imagination_pre_outliers_excluded,mes_post_outliers_excluded,mes_other_post_outliers_excluded,mes_self_post_outliers_excluded,mes_affected_post_outliers_excluded,mes_perspective_post_outliers_excluded,mes_imagination_post_outliers_excluded,tssq_pre_outliers_excluded,tssq_active_pre_outliers_excluded,tssq_conceptualization_pre_outliers_excluded,tssq_perspective_pre_outliers_excluded,tssq_present_pre_outliers_excluded,tssq_post_outliers_excluded,tssq_active_post_outliers_excluded,tssq_conceptualization_post_outliers_excluded,tssq_perspective_post_outliers_excluded,tssq_present_post_outliers_excluded
21,93,18,20,24,19,32,87,18,22,25,13,31,90,19,19,20,16,16,81,17,18,16,20,10,96,32,30,18,16,95,34,28,15,18,93,18,20,24,19,32,87,18,22,25,13,31,90,19,19,20,16,16,81,17,18,16,20,10,96,32,30,18,16,95,34,28,15,18
22,103,17,22,29,34,23,111,18,22,33,30,30,85,15,13,14,22,21,103,20,15,19,25,24,97,44,29,13,11,98,48,32,9,9,103,17,22,29,34,23,111,18,22,33,30,30,85,15,13,14,22,21,103,20,15,19,NA,24,97,44,29,13,11,98,48,32,9,9
23,79,24,27,25,18,12,82,22,26,27,19,14,84,19,11,15,21,18,77,19,11,11,21,15,82,34,22,17,9,81,34,22,16,9,79,24,27,25,18,12,82,22,26,27,19,14,84,19,11,15,21,18,77,19,11,11,21,15,82,34,22,17,9,81,34,22,16,9
24,91,23,26,24,18,26,90,23,26,24,17,26,90,18,16,19,19,18,95,19,16,22,20,18,81,24,29,13,15,81,24,31,12,14,91,23,26,24,18,26,90,23,26,24,17,26,90,18,16,19,19,18,95,19,16,22,20,18,81,24,29,13,15,81,24,31,12,14
25,99,23,28,32,19,25,101,22,27,33,17,29,78,18,15,13,18,14,80,22,11,14,19,14,94,36,30,18,10,95,36,30,18,11,99,23,28,32,19,25,101,22,27,33,17,29,78,18,15,13,18,14,80,22,11,14,19,14,94,36,30,18,10,95,36,30,18,11
26,105,18,23,25,33,29,110,21,25,29,32,28,77,16,11,14,16,20,84,21,10,14,17,22,88,33,30,11,14,93,36,30,12,15,105,18,23,25,33,29,110,21,25,29,32,28,77,16,11,14,16,20,84,21,10,14,17,22,88,33,30,11,14,93,36,30,12,15
27,106,26,28,28,31,21,99,22,24,25,27,25,85,16,15,16,19,19,91,18,15,18,19,21,104,36,33,17,18,101,35,32,16,18,106,26,28,28,31,21,99,22,24,25,27,25,85,16,15,16,19,19,91,18,15,18,19,21,104,36,33,17,18,101,35,32,16,18
28,114,30,35,33,33,18,112,32,37,34,31,15,72,15,4,14,21,18,91,23,4,19,23,22,102,44,24,17,17,104,43,27,16,18,114,30,35,33,33,18,112,NA,NA,34,31,15,72,15,NA,14,21,18,91,23,NA,19,23,22,102,44,24,17,17,104,43,27,16,18
29,101,19,23,25,25,32,102,24,28,26,22,30,89,16,18,17,18,20,85,19,17,20,15,14,89,27,29,13,20,85,24,32,10,19,101,19,23,25,25,32,102,24,28,26,22,30,89,16,18,17,18,20,85,19,17,20,15,14,89,27,29,13,20,85,24,32,10,19
30,104,18,22,28,35,23,91,17,19,25,29,20,85,16,16,13,20,20,94,23,18,22,9,22,80,30,26,7,17,72,24,25,8,15,104,18,22,28,35,23,91,17,19,25,29,20,85,16,16,13,20,20,94,23,18,22,NA,22,80,30,26,7,17,72,24,25,8,15
31,92,22,26,23,26,21,97,21,25,25,27,24,79,17,14,16,14,18,89,18,14,20,17,20,73,25,25,9,14,71,23,26,9,13,92,22,26,23,26,21,97,21,25,25,27,24,79,17,14,16,14,18,89,18,14,20,17,20,73,25,25,9,14,71,23,26,9,13
32,99,22,26,23,33,21,96,22,26,23,33,18,87,17,14,15,20,21,86,19,14,12,18,23,84,32,24,18,10,89,31,29,18,11,99,22,26,23,33,21,96,22,26,23,33,18,87,17,14,15,20,21,86,19,14,12,18,23,84,32,24,18,10,89,31,29,18,11
33,67,19,21,19,17,12,95,23,26,22,22,28,85,15,16,21,16,17,83,15,13,19,18,18,94,33,31,16,14,95,32,30,15,18,NA,19,21,19,17,12,95,23,26,22,22,28,85,15,16,21,16,17,83,15,13,19,18,18,94,33,31,16,14,95,32,30,15,18
34,105,28,30,21,25,31,112,25,28,24,29,34,86,16,16,15,19,20,100,22,16,19,22,21,92,34,38,10,10,82,28,36,11,7,105,28,30,21,25,31,112,25,28,24,29,34,86,16,16,15,19,20,100,22,16,19,22,21,92,34,38,10,10,82,28,36,11,7
35,96,22,24,25,20,29,106,27,31,29,25,25,82,19,15,12,18,18,76,16,12,14,19,15,98,39,25,12,22,112,39,29,18,26,96,22,24,25,20,29,106,27,31,29,25,25,82,19,15,12,18,18,76,16,12,14,19,15,98,39,25,12,22,112,39,29,18,26
36,110,32,34,28,23,27,98,27,29,25,19,27,95,18,18,17,20,22,101,23,16,23,20,19,120,40,36,19,25,101,29,34,15,23,110,32,34,28,23,27,98,27,29,25,19,27,95,18,18,17,20,22,101,23,16,23,20,19,120,40,36,19,25,101,29,34,15,23
37,90,22,26,26,22,20,91,23,27,28,21,19,84,16,14,16,18,20,92,20,14,20,20,18,101,39,29,13,20,98,36,28,13,21,90,22,26,26,22,20,91,23,27,28,21,19,84,16,14,16,18,20,92,20,14,20,20,18,101,39,29,13,20,98,36,28,13,21
38,105,28,32,29,21,27,95,22,26,26,19,28,77,16,14,15,18,14,87,20,15,20,20,12,99,39,29,10,21,102,38,31,11,22,105,28,32,29,21,27,95,22,26,26,19,28,77,16,14,15,18,14,87,20,15,20,20,12,99,39,29,10,21,102,38,31,11,22
39,89,17,21,27,20,25,86,17,21,27,20,22,77,16,14,14,18,15,75,20,12,11,18,14,65,24,24,10,7,64,26,24,7,7,89,17,21,27,20,25,86,17,21,27,20,22,77,16,14,14,18,15,75,20,12,11,18,14,65,24,24,10,7,64,26,24,7,7
40,86,15,19,20,25,26,84,17,19,18,23,26,84,16,18,17,13,20,89,14,17,23,13,22,76,21,33,7,15,79,26,35,6,12,86,15,19,20,25,26,84,17,19,NA,23,26,84,16,18,17,13,20,89,14,17,23,NA,22,76,21,33,7,15,79,26,35,6,12
41,112,24,26,26,33,29,109,21,25,28,31,29,96,17,18,18,22,21,99,17,18,23,20,21,123,42,37,19,25,122,43,36,17,26,112,24,26,26,33,29,109,21,25,28,31,29,96,17,18,18,22,21,99,17,18,23,20,21,123,42,37,19,25,122,43,36,17,26
